-Infini;+Infini;+Infini;359,2144;121,9052;-2,134635E-07
-Infini;+Infini;+Infini;359,1628;121,61;-8,004981E-08
-Infini;+Infini;+Infini;359,1271;121,6339;-4,536199E-07
-Infini;+Infini;+Infini;359,1294;121,631;3,468855E-07
-Infini;+Infini;+Infini;359,1356;121,6293;-1,334173E-07
-Infini;+Infini;+Infini;359,1349;121,6277;-1,067339E-07
0,09762;0,12357;0,5591;359,1356;121,6277;-5,336693E-08
-Infini;+Infini;+Infini;359,1367;121,6279;0
0,06138;0,27547;0,73452;359,1331;121,6226;-1,334174E-07
-Infini;+Infini;+Infini;359,1343;121,6258;-2,668347E-08
0,03048;0,24934;0,58803;359,1434;121,6388;-1,334171E-07
0,09987999;1,13343;2,48518;359,1425;121,6459;2,401507E-07
0,19151;2,39772;5,16912;359,1409;121,6447;-5,336685E-08
0,23355;3,11672;6,70196;359,1465;121,6558;2,668339E-07
0,21049;2,86531;6,16164;359,1397;121,6503;-1,601006E-07
0,1438;1,96888;4,25575;359,143;121,6582;-2,668341E-08
0,13202;1,81395;3,92512;359,1413;121,6596;-4,536182E-07
0,11203;1,53021;3,32225;359,1403;121,6641;4,803017E-07
0,08455;1,14863;2,50637;359,1306;121,6621;0
0,06997;0,9447;2,06965;359,1186;121,67;-4,803045E-07
0,06866001;0,90933;1,99212;359,1113;121,6721;-1,867855E-07
0,08459;1,1155;2,43408;359,1091;121,6772;1,867856E-07
0,0976;1,29177;2,81313;359,1042;121,6796;1,067347E-07
0,10506;1,37763;2,99871;359,1053;121,6844;5,603573E-07
0,10564;1,38354;3,01129;359,1021;121,6869;-1,867859E-07
0,09888;1,32949;2,89292;359,1021;121,689;5,336741E-08
0,10179;1,33036;2,89609;359,1036;121,692;2,668369E-08
0,12307;1,58652;3,4395;359,1101;121,6994;-2,668365E-07
0,13394;1,72977;3,74761;359,1203;121,7123;0
0,12629;1,63669;3,5442;359,1238;121,7157;-1,867848E-07
0,11992;1,55982;3,38592;359,1279;121,7193;2,668351E-07
0,11869;1,53289;3,32894;359,1309;121,7215;-2,66835E-08
0,11372;1,44696;3,13696;359,1322;121,7218;8,005046E-08
0,10631;1,3249;2,8668;359,1327;121,7232;-3,735688E-07
0,09602;1,16624;2,51933;359,1334;121,724;-5,336695E-07
0,08509;0,99661;2,14785;359,1324;121,7214;-1,601009E-07
0,07737999;0,8904099;1,9179;359,1325;121,7193;1,334174E-07
0,07867;0,89262;1,91994;359,1315;121,7167;3,735689E-07
0,07764;0,86525;1,85627;359,1311;121,7124;-3,20202E-07
0,07867;0,86006;1,84004;359,1257;121,7036;-2,668353E-07
0,07585;0,80916;1,72521;359,126;121,701;-4,00253E-07
0,08368;0,89281;1,89955;359,1241;121,6952;2,668354E-08
0,09247;0,99009;2,10386;359,1183;121,6884;4,269374E-07
0,09554;1,01773;2,16066;359,1122;121,6793;1,334181E-07
0,10006;1,06316;2,25797;359,1127;121,6794;2,668363E-07
0,10266;1,08762;2,30996;359,1126;121,6797;8,005087E-08
0,10305;1,09206;2,31681;359,1125;121,6797;-3,202035E-07
0,10558;1,13655;2,40797;359,1087;121,6774;4,536221E-07
0,11276;1,22301;2,58876;359,1132;121,6798;1,334181E-07
0,12014;1,31845;2,787;359,11;121,6785;-1,601019E-07
0,12611;1,40525;2,95342;359,1116;121,6796;-5,336727E-08
0,12052;1,35482;2,83555;359,106;121,6756;-5,870408E-07
0,12243;1,3757;2,87674;359,1051;121,6746;3,468879E-07
0,13102;1,49548;3,12683;359,1034;121,6735;-2,134695E-07
0,12985;1,50046;3,13717;359,0993;121,6701;-2,668372E-08
0,12757;1,49688;3,13183;359,0966;121,6665;-1,334187E-07
0,12271;1,44581;3,02845;359,0994;121,6665;-2,668373E-08
0,11892;1,39689;2,92869;359,1008;121,6592;-1,86786E-07
0,11131;1,30448;2,74135;359,1008;121,6592;-1,86786E-07
0,1076;1,26527;2,66418;359,1037;121,6528;3,468879E-07
0,11477;1,33195;2,81914;359,1016;121,647;1,867859E-07
0,11322;1,29279;2,74886;359,1027;121,6447;1,867859E-07
0,10563;1,17107;2,49772;359,1093;121,6451;-2,668365E-07
0,10239;1,11552;2,38293;359,1093;121,6451;-2,668365E-07
0,10282;1,09197;2,33292;359,111;121,644;2,668364E-07
0,10068;1,05076;2,25093;359,1154;121,6425;1,867852E-07
0,10114;1,03966;2,23187;359,1154;121,6425;1,867852E-07
0,10131;1,02934;2,21379;359,1199;121,6408;5,336714E-08
0,10192;1,01897;2,19423;359,1234;121,6399;2,93519E-07
0,10246;1,01098;2,18046;359,1273;121,6388;-1,067341E-07
0,10641;1,04264;2,25319;359,1298;121,6356;0
0,11024;1,06427;2,30087;359,14;121,6374;-1,601006E-07
0,1141;1,09081;2,3596;359,1644;121,6267;-4,00249E-07
0,11858;1,11815;2,4204;359,1891;121,6297;8,004928E-08
0,11901;1,10134;2,38512;359,2107;121,6239;-2,668296E-07
0,12359;1,13131;2,44556;359,234;121,6196;-4,802906E-07
0,12917;1,17613;2,53796;359,2711;121,6292;7,204298E-07
0,14022;1,26081;2,71392;359,3196;121,6362;1,600939E-07
0,14242;1,27576;2,74655;359,3424;121,6422;2,668218E-08
0,14614;1,29686;2,78606;359,3549;121,6407;5,336423E-07
0,15385;1,34579;2,88416;359,3715;121,6451;1,067281E-07
0,15863;1,37252;2,93336;359,3829;121,6506;5,336395E-07
0,16556;1,41756;3,02042;359,393;121,6501;-1,334096E-07
0,16451;1,39255;2,96171;359,4074;121,6499;2,134548E-07
0,15527;1,32258;2,82029;359,4203;121,6458;-2,934997E-07
0,1498;1,26404;2,69883;359,4622;121,6406;3,735424E-07
0,10983;0,91877;1,96947;359,4833;121,6332;-1,600891E-07
0,09968;0,82604;1,7738;359,5089;121,6248;4,802653E-07
0,08306;0,67954;1,46411;359,5343;121,6147;2,267911E-07
0,08008;0,6479;1,39948;359,5617;121,6068;6,270084E-07
0,08225;0,65592;1,4171;359,5894;121,6041;1,734272E-07
0,08201;0,64547;1,39654;359,6112;121,6021;2,401294E-07
0,08315;0,64756;1,40593;359,6317;121,6037;4,535766E-07
0,08999;0,70005;1,51969;359,6578;121,6024;-5,336181E-08
0,10995;0,85161;1,83779;359,6628;121,6015;-3,735325E-07
0,12265;0,94459;2,03491;359,6654;121,6034;-6,003198E-07
0,16174;1,23543;2,65483;359,6646;121,601;-2,267875E-07
0,16087;1,22576;2,63847;359,6625;121,5989;5,069369E-07
0,17476;1,32249;2,84297;359,6573;121,5959;-3,201708E-07
0,16964;1,28491;2,76344;359,6529;121,594;0
0,16371;1,26168;2,71813;359,6473;121,5919;-1,73426E-07
0,15266;1,20581;2,60354;359,6389;121,5879;-5,869811E-07
0,13518;1,09638;2,37682;359,6197;121,582;-4,002152E-08
0,13171;1,06819;2,31412;359,6143;121,5827;-3,735344E-07
0,12678;1,03207;2,23587;359,6104;121,588;4,135561E-07
0,11235;0,93412;2,0277;359,6055;121,589;-8,004317E-07
0,09937;0,83374;1,81221;359,6084;121,5951;4,802589E-07
0,0967;0,81144;1,76169;359,6071;121,5958;4,669184E-07
0,09381;0,78494;1,70529;359,6138;121,5989;-1,067241E-07
0,10392;0,86928;1,87549;359,6205;121,6017;4,002152E-08
0,11317;0,93986;2,01215;359,6275;121,5981;-5,336198E-07
0,11851;0,98855;2,10998;359,6316;121,5962;1,600859E-07
0,11435;0,96193;2,05416;359,6321;121,593;2,134478E-07
0,11026;0,93822;2,00437;359,6356;121,5906;3,735335E-07
