-Infini;+Infini;+Infini;12,76032;115,9609;8,035836
-Infini;+Infini;+Infini;359,5391;121,8284;359,849
-Infini;+Infini;+Infini;359,2188;121,3449;359,8948
-Infini;+Infini;+Infini;359,1689;121,6061;359,9346
-Infini;+Infini;+Infini;359,1192;121,5693;359,9583
-Infini;+Infini;+Infini;359,134;121,6115;359,9611
0,09762;0,12357;0,5591;359,1491;121,5973;359,9743
-Infini;+Infini;+Infini;359,12;121,5946;359,9626
0,06138;0,27547;0,73452;359,1983;121,5342;0,01679918
-Infini;+Infini;+Infini;359,1268;121,5827;359,9829
0,03048;0,24934;0,58803;359,037;121,6288;359,9474
0,09987999;1,13343;2,48518;359,0787;121,5402;359,9881
0,19151;2,39772;5,16912;359,2574;121,5647;0,01100641
0,23355;3,11672;6,70196;359,0573;121,6714;359,965
0,21049;2,86531;6,16164;359,2197;121,5772;0,03500872
0,1438;1,96888;4,25575;359,0208;121,6784;359,9673
0,13202;1,81395;3,92512;359,133;121,6466;359,9924
0,11203;1,53021;3,32225;359,2215;121,6634;359,9917
0,08455;1,14863;2,50637;359,1104;121,655;0,02883202
0,06997;0,9447;2,06965;359,2089;121,6426;-0,0005628506
0,06866001;0,90933;1,99212;359,1653;121,6571;359,9845
0,08459;1,1155;2,43408;359,1924;121,677;359,9669
0,0976;1,29177;2,81313;359,09;121,6595;0,01419407
0,10506;1,37763;2,99871;359,1509;121,6884;359,9826
0,10564;1,38354;3,01129;359,0611;121,6712;0,01601361
0,09888;1,32949;2,89292;359,099;121,6753;0,004665382
0,10179;1,33036;2,89609;359,0773;121,6926;-0,003888003
0,12307;1,58652;3,4395;359,1224;121,6945;359,9892
0,13394;1,72977;3,74761;359,0416;121,6664;0,02394978
0,12629;1,63669;3,5442;359,0969;121,6952;0,01005892
0,11992;1,55982;3,38592;359,0921;121,709;-9,563466E-05
0,11869;1,53289;3,32894;359,1103;121,7138;359,989
0,11372;1,44696;3,13696;359,1171;121,7098;-0,004708881
0,10631;1,3249;2,8668;359,145;121,7094;359,9871
0,09602;1,16624;2,51933;359,1474;121,7112;359,9932
0,08509;0,99661;2,14785;359,1379;121,727;359,9732
0,07737999;0,8904099;1,9179;359,1285;121,724;359,9841
0,07867;0,89262;1,91994;359,1385;121,7258;0,001801853
0,07764;0,86525;1,85627;359,1281;121,7275;0,007579985
0,07867;0,86006;1,84004;359,1045;121,7282;0,004106273
